"County","State","pct_more_65y","pct_less_18y","pct_high_school","pct_asian","pct_black","pct_latino","pct_white","pct_homeownership","households","housing_units","median_value_occupied_units","pers_houshold","median_household_income","income_capita","land_area","lang_other_eng","living_same_house","mean_travel_time_work","pct_female","veterans","pop_2020","pop_2010","pop_square_mile","retail_sales","total_firms","party","diff_Biden_Trump"
"Colquitt County","GA",16.1,25.6,74.7,0.9,23.8,19.6,55.4,63,15505,18753,85600,2.88,36435,20529,544.15,17.9,83.8,22.6,50.6,2431,45898,45498,83.6,460046,3851,"REP",-7587
"Columbia County","AR",17.7,20.6,85.9,0.9,35.6,2.8,59.5,70.4,8562,11696,81900,2.57,36193,21189,766.05,3.2,84.9,17.2,51.7,1332,22801,24552,32.1,197023,1647,"REP",-2686
"Columbia County","FL",19.3,21.5,86.1,1,18.7,6.7,71.8,71.4,25133,29300,124200,2.59,46494,24275,797.57,6.8,81.1,24.8,48.2,7137,69698,67531,84.7,815928,4574,"REP",-14922
"Columbia County","GA",14,25.1,92.7,4.3,18.8,7.1,67.4,79.5,47215,59836,203400,3.18,82339,34579,290.09,9.5,88.2,26.6,51.2,17438,156010,124053,427.6,1580571,9544,"REP",-20781
"Columbia County","NY",24.4,17,90.3,2,5.3,5,86.1,73.7,24966,33698,233600,2.32,66787,38268,634.71,7.1,90.9,26.3,50,3975,61570,63096,99.4,748848,7454,"DEM",5922
"Columbia County","OR",19.2,20.8,91.3,1.1,0.8,5.6,87.8,75.4,19671,21602,264900,2.59,62257,31883,657.36,3.5,83.3,33.9,49.9,4859,52589,49351,75.1,318072,3032,"REP",-3315
"Columbia County","PA",20.1,17.5,90.3,1.2,2,3,93,69.2,26372,30425,151700,2.32,50550,26787,483.11,2.7,88.6,22.8,51.9,4136,64727,67295,139.3,904832,4590,"REP",-9566
"Columbia County","WA",28.5,18,91.2,1.4,0.7,7.9,84.4,67.9,1795,2175,179400,2.18,53423,36551,868.63,8.9,85.3,19.2,51.2,393,3952,4078,4.7,30494,376,"REP",-1086
"Columbia County","WI",18.4,21,92.7,0.8,1.7,3.7,92.3,74.4,24112,27036,192900,2.31,68005,34984,765.53,5.3,87.8,26.7,48.9,3802,58490,56833,74.2,795235,5217,"REP",-517
"Columbiana County","OH",21.2,20.2,88.5,0.3,2.5,1.9,93.7,73.5,41537,46850,109400,2.39,48345,26469,531.89,2.6,88.7,25.5,49.3,8254,101877,107841,202.7,1126378,7526,"REP",-22367
"Columbus County","NC",20.6,20.7,83,0.5,30.6,5.6,59.1,72.5,21580,26425,88900,2.46,37628,22608,937.29,6,88.1,27,50.4,3657,50623,58098,62,553126,4395,"REP",-7386
"Colusa County","CA",14.9,27.1,71.3,1.6,1.3,60.4,34.1,61,7227,8125,265200,2.94,59401,26932,1150.73,51.7,87.8,25.7,49.1,830,21839,21419,18.6,127885,1138,"REP",-1320
"Comal County","TX",18.3,22.5,92.6,1.4,2.7,28.1,66.5,74.9,51367,63391,282300,2.74,79936,38991,559.48,18,86.1,31.8,50.5,13697,161501,108472,193.9,1894490,11805,"REP",-37914
"Comanche County","KS",25.5,23.7,93.9,0.5,0.5,7.9,88.9,79.6,751,1028,70300,2.22,54821,30355,788.3,3.2,93.4,11.8,51.3,99,1689,1891,2.4,18733,231,"REP",-619
"Comanche County","OK",12.9,23.5,90,2.8,17.3,13.5,55.9,53.1,42842,51644,124600,2.62,52161,26449,1069.29,8.8,72.1,17.3,48.1,15996,121125,124098,116.1,1407794,6293,"REP",-7158
"Comanche County","TX",24.4,22.1,84.5,0.7,1.1,28.6,68.7,80,5487,7444,105000,2.43,53516,26728,937.75,22,93,24.6,50.2,909,13594,13974,14.9,138127,1025,"REP",-4324
"Concho County","TX",25.3,18.2,67.9,1.8,2.2,34.7,60.5,75.2,912,1669,101500,2.41,47500,21420,983.8,35.3,80.6,23.5,46.8,208,3303,4087,4.2,17131,139,"REP",-861
"Concordia Parish","LA",17.8,23.7,80.2,0.4,39.8,1.7,56.9,66.1,7162,9686,80600,2.48,32500,19092,696.92,2.8,86.4,25.2,49.1,878,18687,20822,29.9,275384,1574,"REP",-2373
"Conecuh County","AL",23.5,20.5,84.3,0.2,46.1,2.3,50.4,76.1,4553,7223,81000,2.71,37837,19769,850.16,0.4,96.7,27.9,52.3,575,11597,13228,15.6,136398,833,"REP",-476
"Conejos County","CO",19.9,25.2,88,0.9,1,51.3,45.7,79.4,3183,4483,120500,2.53,36084,20640,1287.39,29.5,89.8,23.1,49.9,544,7461,8256,6.4,35930,758,"REP",-327
"Contra Costa County","CA",16.3,22.4,89.5,18.3,9.5,26,42.7,65.9,394769,418707,625800,2.87,99716,48178,715.94,35.8,87.6,38.7,51.1,46968,1165927,1049025,1465.2,11847866,93083,"DEM",263509
"Converse County","WY",17.2,24.4,90.8,0.5,0.7,8.4,88.4,73.7,5378,6699,206700,2.58,69647,33693,4254.88,8.5,85.9,26.3,48.9,1385,13751,13833,3.3,141457,1358,"REP",-5056
"Conway County","AR",19.7,22.6,87,0.4,11.4,4,81.4,67.3,8309,9885,107600,2.49,42802,25158,552.25,3.2,86.2,25,50.8,1745,20715,21273,38.5,287615,1341,"REP",-3079
"Cook County","GA",16.8,25,79.1,0.7,27.9,6,64.2,66.4,6217,7487,87500,2.74,41854,20128,227.16,4.7,88.8,25.8,52,1022,17229,17212,75.8,136640,1406,"REP",-2841
"Cook County","IL",15.1,21.6,87.1,7.9,23.8,25.6,42,56.9,1972108,2204019,246600,2.59,64660,37552,945.33,35.3,87.4,33.4,51.4,156000,5275541,5194675,5495.1,62767358,549686,"DEM",1167704
